年份,期号,正码1,正码2,正码3,正码4,正码5,正码6,特码
2023,2023001,44(猪/水),25(马/木),3(龙/火),16(兔/木),10(鸡/火),20(猪/土),6(牛/土)
2023,2023002,30(牛/水),32(猪/火),31(鼠/水),39(龙/木),44(猪/水),24(羊/木),26(蛇/金)
2023,2023003,42(牛/金),40(兔/火),30(牛/水),5(虎/金),14(蛇/水),45(狗/水),19(鼠/火)
2023,2023004,39(龙/木),36(羊/土),28(兔/土),49(马/火),12(羊/金),24(羊/木),40(兔/火)
2023,2023005,1(马/水),44(猪/水),16(兔/木),22(鸡/水),38(蛇/木),32(猪/火),19(鼠/火)
2023,2023006,13(马/金),35(猴/金),31(鼠/水),1(马/水),5(虎/金),6(牛/土),23(猴/水)
2023,2023007,36(羊/土),10(鸡/火),3(龙/火),5(虎/金),4(兔/金),8(猪/木),19(鼠/火)
2023,2023008,27(龙/金),41(虎/火),45(狗/水),22(鸡/水),25(马/木),5(虎/金),20(猪/土)
2023,2023009,11(猴/火),17(虎/木),12(羊/金),15(龙/水),22(鸡/水),7(鼠/土),6(牛/土)
2023,2023010,46(鸡/木),16(兔/木),1(马/水),14(蛇/水),6(牛/土),2(蛇/火),36(羊/土)
2023,2023011,45(狗/水),14(蛇/水),9(狗/木),24(羊/木),29(虎/土),32(猪/火),43(鼠/金)
2023,2023012,5(虎/金),21(狗/土),24(羊/木),12(羊/金),15(龙/水),41(虎/火),22(鸡/水)
2023,2023013,26(蛇/金),34(鸡/金),38(蛇/木),8(猪/木),17(虎/木),24(羊/木),18(牛/火)
2023,2023014,43(鼠/金),32(猪/火),14(蛇/水),17(虎/木),26(蛇/金),37(马/土),20(猪/土)
2023,2023015,38(蛇/木),29(虎/土),32(猪/火),18(牛/火),20(猪/土),33(狗/火),39(龙/木)
2023,2023016,41(虎/火),32(猪/火),25(马/木),7(鼠/土),46(鸡/木),27(龙/金),17(虎/木)
2023,2023017,49(马/火),31(鼠/水),3(龙/火),39(龙/木),18(牛/火),41(虎/火),23(猴/水)
2023,2023018,3(龙/火),4(兔/金),29(虎/土),44(猪/水),27(龙/金),35(猴/金),47(猴/木)
2023,2023019,34(鸡/金),23(猴/水),19(鼠/火),22(鸡/水),45(狗/水),27(龙/金),17(虎/木)
2023,2023020,4(兔/金),42(牛/金),36(羊/土),16(兔/木),11(猴/火),3(龙/火),29(虎/土)
2023,2023021,12(羊/金),15(龙/水),8(猪/木),38(蛇/木),36(羊/土),21(狗/土),35(猴/金)
2023,2023022,21(狗/土),28(兔/土),36(羊/土),44(猪/水),34(鸡/金),30(牛/水),41(虎/火)
2023,2023023,11(猴/火),41(虎/火),43(鼠/金),33(狗/火),48(羊/火),36(羊/土),20(猪/土)
2023,2023024,49(马/火),41(虎/火),35(猴/金),30(牛/水),3(龙/火),31(鼠/水),1(马/水)
2023,2023025,23(猴/水),27(龙/金),21(狗/土),34(鸡/金),14(蛇/水),10(鸡/火),32(猪/火)
2023,2023026,18(牛/火),3(龙/火),36(羊/土),6(牛/土),34(鸡/金),14(蛇/水),30(牛/水)
2023,2023027,6(牛/土),23(猴/水),7(鼠/土),31(鼠/水),18(牛/火),47(猴/木),28(兔/土)
2023,2023028,13(马/金),44(猪/水),5(虎/金),28(兔/土),30(牛/水),32(猪/火),9(狗/木)
2023,2023029,19(鼠/火),9(狗/木),26(蛇/金),30(牛/水),35(猴/金),27(龙/金),16(兔/木)
2023,2023030,21(狗/土),27(龙/金),22(鸡/水),36(羊/土),23(猴/水),8(猪/木),3(龙/火)
2023,2023031,12(羊/金),40(兔/火),31(鼠/水),48(羊/火),26(蛇/金),15(龙/水),7(鼠/土)
2023,2023032,35(猴/金),22(鸡/水),27(龙/金),46(鸡/木),3(龙/火),23(猴/水),40(兔/火)
2023,2023033,48(羊/火),44(猪/水),45(狗/水),26(蛇/金),29(虎/土),25(马/木),30(牛/水)
2023,2023034,3(龙/火),49(马/火),42(牛/金),44(猪/水),45(狗/水),48(羊/火),11(猴/火)
2023,2023035,12(羊/金),48(羊/火),38(蛇/木),15(龙/水),20(猪/土),18(牛/火),44(猪/水)
2023,2023036,16(兔/木),41(虎/火),38(蛇/木),14(蛇/水),25(马/木),48(羊/火),29(虎/土)
2023,2023037,18(牛/火),42(牛/金),20(猪/土),39(龙/木),49(马/火),4(兔/金),10(鸡/火)
2023,2023038,31(鼠/水),46(鸡/木),3(龙/火),38(蛇/木),27(龙/金),26(蛇/金),6(牛/土)
2023,2023039,41(虎/火),17(虎/木),14(蛇/水),8(猪/木),10(鸡/火),27(龙/金),19(鼠/火)
2023,2023040,9(狗/木),3(龙/火),25(马/木),38(蛇/木),32(猪/火),42(牛/金),40(兔/火)
2024,2024001,25(马/木),18(牛/火),6(牛/土),14(蛇/水),29(虎/土),39(龙/木),22(鸡/水)
2024,2024002,13(马/金),4(兔/金),10(鸡/火),6(牛/土),5(虎/金),28(兔/土),37(马/土)
2024,2024003,28(兔/土),1(马/水),16(兔/木),47(猴/木),18(牛/火),42(牛/金),33(狗/火)
2024,2024004,45(狗/水),16(兔/木),17(虎/木),7(鼠/土),37(马/土),28(兔/土),33(狗/火)
2024,2024005,35(猴/金),21(狗/土),10(鸡/火),3(龙/火),32(猪/火),40(兔/火),8(猪/木)
2024,2024006,3(龙/火),13(马/金),12(羊/金),28(兔/土),1(马/水),18(牛/火),4(兔/金)
2024,2024007,32(猪/火),12(羊/金),48(羊/火),45(狗/水),39(龙/木),7(鼠/土),15(龙/水)
2024,2024008,13(马/金),24(羊/木),48(羊/火),23(猴/水),32(猪/火),20(猪/土),46(鸡/木)
2024,2024009,23(猴/水),17(虎/木),43(鼠/金),1(马/水),10(鸡/火),13(马/金),30(牛/水)
2024,2024010,37(马/土),18(牛/火),17(虎/木),47(猴/木),21(狗/土),23(猴/水),25(马/木)
2024,2024011,7(鼠/土),45(狗/水),3(龙/火),30(牛/水),1(马/水),10(鸡/火),6(牛/土)
2024,2024012,24(羊/木),32(猪/火),10(鸡/火),15(龙/水),37(马/土),4(兔/金),39(龙/木)
2024,2024013,42(牛/金),43(鼠/金),36(羊/土),11(猴/火),25(马/木),47(猴/木),7(鼠/土)
2024,2024014,48(羊/火),20(猪/土),30(牛/水),39(龙/木),41(虎/火),6(牛/土),27(龙/金)
2024,2024015,13(马/金),37(马/土),2(蛇/火),3(龙/火),43(鼠/金),12(羊/金),36(羊/土)
2024,2024016,40(兔/火),22(鸡/水),27(龙/金),42(牛/金),43(鼠/金),39(龙/木),21(狗/土)
2024,2024017,42(牛/金),29(虎/土),20(猪/土),49(马/火),22(鸡/水),6(牛/土),38(蛇/木)
2024,2024018,12(羊/金),1(马/水),24(羊/木),33(狗/火),21(狗/土),44(猪/水),10(鸡/火)
2024,2024019,3(龙/火),23(猴/水),49(马/火),13(马/金),39(龙/木),26(蛇/金),6(牛/土)
2024,2024020,44(猪/水),4(兔/金),47(猴/木),1(马/水),49(马/火),14(蛇/水),34(鸡/金)
2024,2024021,39(龙/木),19(鼠/火),24(羊/木),31(鼠/水),32(猪/火),30(牛/水),14(蛇/水)
2024,2024022,27(龙/金),23(猴/水),26(蛇/金),14(蛇/水),16(兔/木),18(牛/火),4(兔/金)
2024,2024023,15(龙/水),43(鼠/金),6(牛/土),30(牛/水),16(兔/木),9(狗/木),45(狗/水)
2024,2024024,3(龙/火),45(狗/水),18(牛/火),40(兔/火),28(兔/土),2(蛇/火),41(虎/火)
2024,2024025,17(虎/木),42(牛/金),28(兔/土),44(猪/水),5(虎/金),20(猪/土),30(牛/水)
2024,2024026,36(羊/土),25(马/木),7(鼠/土),2(蛇/火),34(鸡/金),9(狗/木),37(马/土)
2024,2024027,2(蛇/火),6(牛/土),28(兔/土),32(猪/火),45(狗/水),16(兔/木),25(马/木)
2024,2024028,34(鸡/金),14(蛇/水),29(虎/土),33(狗/火),5(虎/金),28(兔/土),40(兔/火)
2024,2024041,45(狗/水),4(兔/金),19(鼠/火),12(羊/金),6(牛/土),27(龙/金),41(虎/火)
2024,2024042,19(鼠/火),2(蛇/火),11(猴/火),10(鸡/火),17(虎/木),48(羊/火),15(龙/水)
2024,2024043,16(兔/木),1(马/水),29(虎/土),39(龙/木),37(马/土),7(鼠/土),42(牛/金)
2024,2024044,43(鼠/金),5(虎/金),16(兔/木),34(鸡/金),30(牛/水),38(蛇/木),2(蛇/火)
2024,2024045,17(虎/木),9(狗/木),22(鸡/水),40(兔/火),37(马/土),13(马/金),28(兔/土)
2024,2024046,43(鼠/金),48(羊/火),49(马/火),31(鼠/水),13(马/金),40(兔/火),2(蛇/火)
2024,2024047,14(蛇/水),29(虎/土),36(羊/土),10(鸡/火),13(马/金),33(狗/火),9(狗/木)
2024,2024048,49(马/火),9(狗/木),13(马/金),22(鸡/水),42(牛/金),5(虎/金),30(牛/水)
2024,2024049,31(鼠/水),28(兔/土),44(猪/水),29(虎/土),40(兔/火),36(羊/土),35(猴/金)
2024,2024050,3(龙/火),47(猴/木),42(牛/金),44(猪/水),5(虎/金),37(马/土),39(龙/木)
2024,2024051,8(猪/木),36(羊/土),43(鼠/金),6(牛/土),29(虎/土),35(猴/金),12(羊/金)
2024,2024052,34(鸡/金),47(猴/木),36(羊/土),29(虎/土),48(羊/火),2(蛇/火),9(狗/木)
2024,2024053,10(鸡/火),15(龙/水),24(羊/木),47(猴/木),40(兔/火),33(狗/火),25(马/木)
2024,2024054,42(牛/金),14(蛇/水),35(猴/金),29(虎/土),15(龙/水),5(虎/金),9(狗/木)
2024,2024055,40(兔/火),48(羊/火),22(鸡/水),47(猴/木),16(兔/木),18(牛/火),31(鼠/水)
2024,2024056,37(马/土),42(牛/金),5(虎/金),17(虎/木),12(羊/金),2(蛇/火),23(猴/水)
2024,2024057,23(猴/水),31(鼠/水),7(鼠/土),32(猪/火),47(猴/木),26(蛇/金),46(鸡/木)
2024,2024058,22(鸡/水),23(猴/水),33(狗/火),34(鸡/金),49(马/火),19(鼠/火),31(鼠/水)
2024,2024059,15(龙/水),25(马/木),9(狗/木),43(鼠/金),49(马/火),46(鸡/木),30(牛/水)
2024,2024060,43(鼠/金),45(狗/水),31(鼠/水),16(兔/木),27(龙/金),38(蛇/木),44(猪/水)
