年份,期号,正码1,正码2,正码3,正码4,正码5,正码6,特码
2023,2023001,46(鸡/木),34(鸡/金),3(龙/火),2(蛇/火),37(马/土),19(鼠/火),32(猪/火)
2023,2023002,31(鼠/水),33(狗/火),1(马/水),4(兔/金),34(鸡/金),24(羊/木),2(蛇/火)
2023,2023003,9(狗/木),3(龙/火),19(鼠/火),16(兔/木),35(猴/金),33(狗/火),39(龙/木)
2023,2023004,6(牛/土),8(猪/木),29(虎/土),38(蛇/木),26(蛇/金),3(龙/火),1(马/水)
2023,2023005,38(蛇/木),3(龙/火),18(牛/火),17(虎/木),39(龙/木),36(羊/土),21(狗/土)
2023,2023006,41(虎/火),6(牛/土),27(龙/金),8(猪/木),1(马/水),47(猴/木),29(虎/土)
2023,2023007,2(蛇/火),17(虎/木),10(鸡/火),47(猴/木),46(鸡/木),49(马/火),3(龙/火)
2023,2023008,3(龙/火),48(羊/火),31(鼠/水),40(兔/火),43(鼠/金),25(马/木),45(狗/水)
2023,2023009,30(牛/水),43(鼠/金),2(蛇/火),14(蛇/水),6(牛/土),7(鼠/土),15(龙/水)
2023,2023010,5(虎/金),45(狗/水),2(蛇/火),15(龙/水),49(马/火),32(猪/火),19(鼠/火)
2023,2023011,8(猪/木),47(猴/木),1(马/水),34(鸡/金),19(鼠/火),13(马/金),12(羊/金)
2023,2023012,20(猪/土),21(狗/土),49(马/火),8(猪/木),30(牛/水),29(虎/土),32(猪/火)
2023,2023013,12(羊/金),23(猴/水),4(兔/金),24(羊/木),31(鼠/水),15(龙/水),43(鼠/金)
2023,2023014,32(猪/火),21(狗/土),3(龙/火),7(鼠/土),36(羊/土),47(猴/木),23(猴/水)
2023,2023015,15(龙/水),18(牛/火),19(鼠/火),49(马/火),41(虎/火),38(蛇/木),22(鸡/水)
2023,2023016,7(鼠/土),25(马/木),22(鸡/水),20(猪/土),5(虎/金),9(狗/木),13(马/金)
2024,2024001,45(狗/水),9(狗/木),46(鸡/木),44(猪/水),23(猴/水),42(牛/金),22(鸡/水)
2024,2024002,31(鼠/水),47(猴/木),13(马/金),23(猴/水),8(猪/木),18(牛/火),16(兔/木)
2024,2024003,33(狗/火),1(马/水),19(鼠/火),28(兔/土),41(虎/火),35(猴/金),11(猴/火)
2024,2024004,35(猴/金),8(猪/木),27(龙/金),26(蛇/金),30(牛/水),15(龙/水),2(蛇/火)
2024,2024005,48(羊/火),12(羊/金),3(龙/火),18(牛/火),11(猴/火),5(虎/金),6(牛/土)
2024,2024006,3(龙/火),4(兔/金),19(鼠/火),45(狗/水),38(蛇/木),1(马/水),39(龙/木)
2024,2024007,18(牛/火),32(猪/火),12(羊/金),4(兔/金),6(牛/土),3(龙/火),28(兔/土)
2024,2024008,16(兔/木),48(羊/火),43(鼠/金),22(鸡/水),49(马/火),33(狗/火),8(猪/木)
2024,2024009,6(牛/土),37(马/土),24(羊/木),25(马/木),3(龙/火),34(鸡/金),45(狗/水)
2024,2024010,19(鼠/火),31(鼠/水),7(鼠/土),36(羊/土),45(狗/水),14(蛇/水),24(羊/木)
2024,2024017,24(羊/木),12(羊/金),48(羊/火),10(鸡/火),13(马/金),25(马/木),15(龙/水)
2024,2024018,26(蛇/金),9(狗/木),23(猴/水),41(虎/火),36(羊/土),27(龙/金),24(羊/木)
2024,2024019,27(龙/金),26(蛇/金),45(狗/水),10(鸡/火),30(牛/水),29(虎/土),37(马/土)
2024,2024020,34(鸡/金),22(鸡/水),25(马/木),33(狗/火),39(龙/木),35(猴/金),5(虎/金)
2024,2024021,2(蛇/火),7(鼠/土),30(牛/水),36(羊/土),24(羊/木),29(虎/土),6(牛/土)
2024,2024022,24(羊/木),22(鸡/水),26(蛇/金),12(羊/金),3(龙/火),11(猴/火),21(狗/土)
2024,2024023,41(虎/火),13(马/金),36(羊/土),5(虎/金),39(龙/木),16(兔/木),38(蛇/木)
2024,2024024,35(猴/金),46(鸡/木),43(鼠/金),7(鼠/土),23(猴/水),31(鼠/水),10(鸡/火)
2024,2024025,11(猴/火),34(鸡/金),42(牛/金),24(羊/木),36(羊/土),39(龙/木),38(蛇/木)
2024,2024026,39(龙/木),30(牛/水),22(鸡/水),31(鼠/水),32(猪/火),5(虎/金),44(猪/水)
2024,2024027,32(猪/火),21(狗/土),4(兔/金),5(虎/金),8(猪/木),42(牛/金),45(狗/水)
2024,2024028,16(兔/木),43(鼠/金),13(马/金),18(牛/火),24(羊/木),32(猪/火),44(猪/水)
2024,2024029,24(羊/木),49(马/火),23(猴/水),6(牛/土),34(鸡/金),31(鼠/水),1(马/水)
2024,2024030,23(猴/水),40(兔/火),1(马/水),8(猪/木),44(猪/水),13(马/金),15(龙/水)
2024,2024031,30(牛/水),36(羊/土),8(猪/木),29(虎/土),48(羊/火),7(鼠/土),28(兔/土)
2024,2024032,20(猪/土),6(牛/土),34(鸡/金),39(龙/木),42(牛/金),19(鼠/火),44(猪/水)
2024,2024033,18(牛/火),24(羊/木),42(牛/金),11(猴/火),46(鸡/木),35(猴/金),3(龙/火)
2024,2024034,42(牛/金),18(牛/火),11(猴/火),12(羊/金),6(牛/土),24(羊/木),38(蛇/木)
2024,2024035,2(蛇/火),15(龙/水),9(狗/木),48(羊/火),39(龙/木),20(猪/土),43(鼠/金)
2024,2024036,6(牛/土),2(蛇/火),36(羊/土),39(龙/木),18(牛/火),22(鸡/水),21(狗/土)
2024,2024037,42(牛/金),44(猪/水),25(马/木),31(鼠/水),16(兔/木),43(鼠/金),7(鼠/土)
2024,2024038,12(羊/金),8(猪/木),26(蛇/金),4(兔/金),24(羊/木),22(鸡/水),1(马/水)
2024,2024039,30(牛/水),34(鸡/金),35(猴/金),17(虎/木),15(龙/水),16(兔/木),25(马/木)
2024,2024040,13(马/金),48(羊/火),34(鸡/金),30(牛/水),20(猪/土),29(虎/土),3(龙/火)
2024,2024041,9(狗/木),2(蛇/火),35(猴/金),33(狗/火),7(鼠/土),13(马/金),49(马/火)
2024,2024042,12(羊/金),6(牛/土),17(虎/木),10(鸡/火),14(蛇/水),41(虎/火),47(猴/木)
2024,2024043,17(虎/木),14(蛇/水),18(牛/火),12(羊/金),23(猴/水),44(猪/水),27(龙/金)
2024,2024044,26(蛇/金),38(蛇/木),48(羊/火),30(牛/水),17(虎/木),25(马/木),28(兔/土)
2024,2024045,7(鼠/土),10(鸡/火),8(猪/木),27(龙/金),17(虎/木),12(羊/金),25(马/木)
2024,2024046,37(马/土),5(虎/金),6(牛/土),27(龙/金),16(兔/木),47(猴/木),24(羊/木)
2024,2024047,3(龙/火),36(羊/土),25(马/木),32(猪/火),38(蛇/木),17(虎/木),46(鸡/木)
2024,2024048,28(兔/土),40(兔/火),9(狗/木),48(羊/火),18(牛/火),47(猴/木),23(猴/水)
2024,2024049,39(龙/木),11(猴/火),37(马/土),28(兔/土),12(羊/金),35(猴/金),30(牛/水)
